MasterNLC,MasterASC,UniqueStationName,Easting,Northing,Latitude,Longitude
5411,WCYr,West Croydon NR,532187,166126,51.379,-0.102
8776,WCRt,West Croydon Trams,532215,166154,51.379,-0.102
3174,WDTr,West Drayton,506175,180088,51.51,-0.471
5086,WDUr,West Dulwich,532767,173009,51.441,-0.091
3188,WEAr,West Ealing,516611,180727,51.513,-0.321
756,WFYu,West Finchley,525547,191621,51.609,-0.188
757,WHMu,West Ham,539151,182925,51.528,0.005
1421,WHDr,West Hampstead LO,525463,184705,51.547,-0.192
758,WHDu,West Hampstead LU,525606,184655,51.547,-0.19
1525,WHPr,West Hampstead NR,525439,184830,51.548,-0.192
759,WHRu,West Harrow,514215,188032,51.58,-0.353
866,WIQd,West India Quay,537478,180503,51.507,-0.02
760,WKNu,West Kensington,524653,178383,51.491,-0.206
5438,WNWr,West Norwood,531932,171996,51.432,-0.104
762,WRPu,West Ruislip,508421,186783,51.57,-0.437
559,WSId,West Silvertown,540461,180155,51.503,0.022
5293,WSUr,West Sutton,525092,164552,51.366,-0.204
5054,WWIr,West Wickham,538270,166573,51.381,-0.015
754,WBPu,Westbourne Park,524884,181756,51.521,-0.201
5151,WCBr,Westcombe Park,540279,178073,51.484,0.019
865,WESd,Westferry,537037,180789,51.509,-0.027
761,WMSu,Westminster,530245,179713,51.501,-0.125
764,WCTu,White City,523324,180718,51.512,-0.224
6956,WHLr,White Hart Lane,533700,191289,51.605,-0.071
763,WCLu,Whitechapel,534650,181856,51.52,-0.061
5611,WTNr,Whitton,514213,173558,51.449,-0.358
5396,WHYr,Whyteleafe,533850,158504,51.31,-0.081
5439,WHSr,Whyteleafe South,534132,157825,51.304,-0.077
765,WLGu,Willesden Green,523363,184882,51.549,-0.222
766,WJNu,Willesden Junction,521933,182938,51.532,-0.244
767,WIMu,Wimbledon,524884,170757,51.422,-0.205
5612,WBOr,Wimbledon Chase,524268,169391,51.41,-0.215
768,WMPu,Wimbledon Park,525285,172100,51.434,-0.199
8777,WMBt,Wimbledon Trams,524861,170661,51.421,-0.206
6024,WIHr,Winchmore Hill,531525,194489,51.634,-0.101
3175,WNCr,Windsor & Eton Central,496577,176951,51.483,-0.611
770,WGNu,Wood Green,531021,190422,51.597,-0.11
599,WDLu,Wood Lane,523354,180497,51.51,-0.224
6954,WSTr,Wood Street,538539,189468,51.587,-0.002
769,WFDu,Woodford,540950,191734,51.607,0.034
7467,WGRr,Woodgrange Park,541871,185341,51.549,0.045
5441,WMEr,Woodmansterne,528735,159376,51.319,-0.154
8779,WDSt,Woodside,534717,167113,51.387,-0.065
771,WSPu,Woodside Park,525714,192573,51.618,-0.186
573,WOAd,Woolwich Arsenal,543761,178802,51.49,0.069
5153,WWDr,Woolwich Dockyard,542768,178906,51.491,0.055
6562,WWCr,Woolwich EL,543850,179029,51.492,0.071
5579,WCPr,Worcester Park,522232,166169,51.381,-0.245
5550,ASNr,Addlestone,505539,164911,51.373,-0.485
5623,AHTr,Aldershot,486667,150415,51.246,-0.76
6869,ALNr,Althorne,590505,197918,51.648,0.752
5544,AONr,Alton,472343,139686,51.152,-0.967
6909,AGRr,Angel Road,,,,
1430,APSr,Apsley,506268,204832,51.732,-0.463
5666,ACTr,Ascot,492134,168290,51.406,-0.677
5641,ASHr,Ash,489932,150844,51.25,-0.713
5547,AHVr,Ash Vale,489296,153385,51.273,-0.721
5667,AFSr,Ashford (Surrey),506494,171920,51.436,-0.469
5347,AHDr,Ashtead,518025,158989,51.318,-0.308
5398,AHSr,Ashurst,550721,138773,51.128,0.153
6083,AWMr,Ashwell & Morden,529750,238593,52.031,-0.11
1380,APGr,Aspley Guise,493954,236753,52.021,-0.632
7017,AUDr,Audley End,551595,236305,52.004,0.207
1492,AYSr,Aylesbury,481834,213418,51.813,-0.814
1090,AVPr,Aylesbury Vale Parkway,478696,215286,51.831,-0.859
5162,AYLr,Aylesford,571969,158715,51.302,0.465
5681,BAGr,Bagshot,491404,163644,51.365,-0.688
5492,BABr,Balcombe,530649,130160,51.056,-0.137
6084,BDKr,Baldock,524583,234283,51.993,-0.187
5133,BMGr,Barming,572979,156876,51.285,0.479
7494,BSOr,Basildon,570370,188339,51.568,0.457
5090,BBLr,Bat & Ball,553088,156837,51.29,0.194
6870,BLBr,Battlesbridge,577699,194919,51.625,0.566
1512,BDMr,Bedford,504171,249682,52.136,-0.479
1510,BSJr,Bedford St Johns,504992,248998,52.129,-0.468
5227,BEGr,Beltring,567997,147796,51.205,0.403
7439,BEFr,Benfleet,577685,185939,51.544,0.561
5624,BTYr,Bentley,479185,143047,51.181,-0.869
1390,BKMr,Berkhamsted,499268,208191,51.764,-0.563
5472,BTOr,Betchworth,521001,151291,51.248,-0.268
6871,BICr,Billericay,567425,195009,51.629,0.418
6800,BISr,Bishop's Stortford,549201,220874,51.866,0.166
5625,BAWr,Blackwater,485296,159902,51.332,-0.777
1360,BLYr,Bletchley,486857,233752,51.995,-0.736
5626,BKAr,Bookham,512777,155643,51.289,-0.384
5130,BRGr,Borough Green & Wrotham,560839,157412,51.293,0.305
1381,BWBr,Bow Brickhill,489578,234770,52.004,-0.696
5403,BXWr,Box Hill & Westhumble,516737,151848,51.254,-0.329
5693,BCEr,Bracknell,486886,168953,51.413,-0.752
1560,BWOr,Bricket Wood,513482,202037,51.706,-0.359
5268,BTNr,Brighton,531018,105014,50.83,-0.141
5687,BKOr,Brookwood,495220,156945,51.304,-0.635
5483,BUGr,Burgess Hill,531594,118715,50.953,-0.128
6873,BUUr,Burnham-on-Crouch,594786,196481,51.633,0.813
5324,BXDr,Buxted,549693,123365,50.99,0.132
5689,BFNr,Byfleet & New Haw,505891,162286,51.35,-0.481
5682,CAMr,Camberley,487578,160438,51.336,-0.744
7022,CBGr,Cambridge,546252,257418,52.196,0.138
8001,CMBr,Cambridge North,547531,260670,52.224,0.158
7469,CHWr,Chalkwell,585185,185569,51.539,0.669
5199,CTMr,Chatham,575477,167641,51.381,0.52
1372,CEDr,Cheddington,492239,218596,51.858,-0.662
6836,CHMr,Chelmsford,570578,207102,51.737,0.469
5553,CHYr,Chertsey,503800,166408,51.387,-0.51
5296,CHLr,Chilworth,503159,147251,51.215,-0.524
5555,CLAr,Clandon,504515,152714,51.264,-0.503
5556,CLGr,Claygate,515081,163861,51.362,-0.348
5557,CSDr,Cobham & Stoke D'Abernon,512325,158871,51.318,-0.39
5409,CWNr,Cowden,547661,141692,51.155,0.11
5325,COHr,Crowborough,553451,129701,51.046,0.188
5628,CRNr,Crowthorne,482294,163709,51.366,-0.819
5201,CUXr,Cuxton,571460,166756,51.374,0.462
5668,DATr,Datchet,498742,176955,51.483,-0.579
5357,DKGr,Dorking,517107,150414,51.241,-0.324
5412,DPDr,Dorking (Deepdene),517102,150183,51.239,-0.324
5297,DKTr,Dorking West,516067,149869,51.236,-0.339
5413,DMSr,Dormans,539670,141550,51.156,-0.004
5102,DNGr,Dunton Green,551471,157502,51.297,0.171
